"segment_id","speaker","startTime","endTime","sentence"
"43","I","00:05:11","00:05:25","Was ich jetzt auch noch spannend finde, wäre, du hast es erklärt, du hast ein paar Standardfragen, könntest du noch ein paar Beispiele nennen, so ein bisschen von der Komplexität her auch was es für Daten braucht, die so deine gängigen Fragen sind an das System."
"44","P1","00:05:26","00:05:31","Also ganz wirklich Standard und ich glaube wir hatten es mal mit so steigender Komplexität."
"45","P1","00:05:32","00:05:40","Ich will zum Beispiel oder Kunde ruft mich an, sagt wir haben schlimmstenfalls ein Qualitätsproblem mit diesem Teil."
"46","P1","00:05:41","00:05:44","Wie viele von diesen Teilen habt ihr geliefert?"
"47","P1","00:05:47","00:05:49","Das Einfachste ist so und so viel Stück."
"48","P1","00:05:49","00:05:56","Dann gibt es aber zum Beispiel Chargen, Lot, Größen, die betroffen sein könnten oder nicht."
"49","P1","00:05:56","00:06:14","Und wenn ich das will, dann ist der Aufwand, das zu finden, schon größer, weil Stück kriege ich auf Knopfdruck, Chargen kriege ich dann zum Beispiel, indem ich sehe, das sind 100 Lieferungen und ich muss die anklicken und manuell schauen, wo diese Charge dann drin ist."
"50","P1","00:06:14","00:06:23","Also er hätte wahrscheinlich wieder einen schnellen Weg, aber dafür braucht es wieder IT Wissen, was ich nicht habe."
"51","P1","00:06:23","00:06:25","Das ist so, das kann täglich vorkommen."
"52","P1","00:06:26","00:06:32","Dann bisschen spannender ist eben zum Beispiel die Rückmeldungen."
"53","P1","00:06:32","00:06:43","Also wir hatten Fertigungsaufträge, Mitarbeiter stempelt den Auftrag an, arbeitet beendet, sagt wie viele Stück hat er gemacht, vielleicht Ausschuss, kann ich alles relativ einfach rausholen."
"54","P1","00:06:43","00:07:06","Und dann wüsste ich aber zum Beispiel gern hat jetzt Mitarbeiter A oder Mitarbeiter B pro Zeit mehr Teile gemacht, also irgendwo Controlling oder Nachkalkulationsfragen und das geht auch noch, aber da bräuchte ich dann schon zumindest Export in Excel und Summieren."
"55","P1","00:07:06","00:07:08","Das schafft Sage allein nicht mehr."
"56","P1","00:07:09","00:07:25","Und dann gibt es die für mich irgendwann wirklich spannenden Fragen, dass ich sagen kann, Mitarbeiter A hat vielleicht fünf Teile gemacht, Mitarbeiter B hat sechs Teile gemacht, Mitarbeiter A verdient x Franken, Mitarbeiter B verdient Y Franken."
"57","P1","00:07:25","00:07:32","Die Lohndinge sind aber nicht in Sage oder auch Sage oder nicht mehr Sage, Produktoffizier, aber ähnliches Produkt."
"58","P1","00:07:33","00:07:37","Und da sprechen die Systeme aber überhaupt nicht miteinander."
"59","P1","00:07:37","00:07:49","Das heißt, jetzt muss ich die ganze Abfrage in Sage machen, dann muss ich im Lohnsystem seinen Lohn anschauen, dann muss ich den noch durch was weiß ich rechnen, dass ich pro Stunde habe."
"60","P1","00:07:49","00:08:06","Ich könnte das zwar in Sage eintragen, dann müsste ich aber jährlich schauen, dass wenn der mehr verdient, ich das wieder aktualisiere, Dann wird es mühsam und dann habe ich ja erst Stück mit Rückmeldung oder Rückmeldung da die Stück Lohn."
"61","P1","00:08:07","00:08:14","Und dann will ich aber vielleicht noch sehen, dass wir im Kanton Basel Land fünf Feiertage hatten diese Woche."
"62","P1","00:08:14","00:08:27","Das steht irgendwo im Internet, das muss ich wieder manuell holen und ich denke so auf höchster Komplexitätsebene wäre dann eine Analyse, die all das berücksichtigt."
"63","P1","00:08:27","00:08:50","Also war Peter effizienter als Stefan im Monat Mai im Jahr 2025 und vielleicht hängt das noch mit der Temperatur draußen ab, indem ich schaue, ob meine Klimaanlage, wenn sie mehr läuft, mehr Entspannung bringt oder nicht endlos Dinge da rein, das geht dann viel zu weit."
"64","P1","00:08:51","00:09:06","Aber das wäre schön, wenn mir der perfekte KI Assistent sagen könnte, dreh ein bisschen die Klimaanlage hoch, weil Über die letzten fünf Jahre war der Output immer dann, wenn wir 22 Grad statt 21 Grad hatten."
"65","P1","00:09:06","00:09:12","Nicht, dass das so wäre, aber von der Idee her wäre es dann sehr komplex und interessant."
"66","I","00:09:12","00:09:13","Okay, sehr spannend."
"67","I","00:09:13","00:09:22","Also wirklich eben dieses fast schon holistische, auch mit externen Systemen, so ein Modell, das wirklich identifizieren kann, was eigentlich alles am liebsten."
"68","P1","00:09:22","00:09:38","Und noch viel schöner wäre dann, wenn ich nicht selber sagen muss, auf was ich schauen muss, sondern wenn ich irgendwelche Korrelationen präsentiert bekomme, weil die abweichen von wie es bis jetzt war zum Beispiel."
"69","P1","00:09:38","00:09:43","Also dass mir das System selber sagt, worauf ich eigentlich schauen müsste."
"70","I","00:09:43","00:09:44","Okay, sehr spannend."
"71","I","00:09:44","00:09:47","Also so ein bisschen dieses Projekt proaktive sozusagen, was dann ein."
"72","P1","00:09:48","00:09:54","Das wäre ein Traum, wenn ich nicht selber wissen müsste, worauf ich eigentlich schauen muss."
"73","P1","00:09:55","00:10:06","Okay, dann braucht es mich vielleicht irgendwann nicht mehr, aber dann schaue ich mir dashboard von Hawaii aus und muss mich nur noch kümmern, was nicht läuft."
"74","P1","00:10:06","00:10:12","Klar ist das eine Illusion oder heute noch, aber das schön."
"75","I","00:10:12","00:10:12","OK."
"76","I","00:10:13","00:10:16","Und in welchem Kontext stellst du diese Fragen?"
"77","I","00:10:16","00:10:25","Sind diese täglich oder sind die eher quartalsspezifisch, wo du dann anfängst Effizienz und Produktivität zu vergleichen?"
"78","P1","00:10:25","00:10:26","Es gibt alles."
"79","P1","00:10:26","00:10:28","Es gibt Dinge, die schauen wir täglich an."
"80","P1","00:10:28","00:10:30","Gibt Dinge, die schauen wir jährlich an."
"81","P1","00:10:30","00:10:42","Gibt Dinge, die schauen wir nur bei Ereignissen an, irgendwelche Qualitätsprobleme und es gibt Dinge, von denen ich nicht weiß, dass ich sie anschauen sollte, Die käme ich gern in dem Rhythmus vorgeschlagen."
"82","P1","00:10:43","00:10:52","Der Sinn macht logischerweise, wobei der Sinn ist die Frage, das müsste ein riesiger Baum sein."
"83","P1","00:10:52","00:11:04","Aus Ziel ist irgendwo, was weiß ich, Profit oder Nachhaltigkeit oder was auch immer und der soll alles berücksichtigen und mich auf die relevanten Punkte aufmerksam machen im Rhythmus, der Sinn macht."
"84","I","00:11:05","00:11:07","Ja doch, das macht definitiv Sinn."
"85","I","00:11:07","00:11:11","Also ich glaube halt wirklich dieses Proaktive ist da sehr spannend."
"86","I","00:11:11","00:11:25","Ich glaube, worauf ich mich jetzt wirklich konzentriert habe in der Arbeit ist das System nicht komplett sozusagen auf eure Infrastruktur zu fokussieren, sondern dass du im Prinzip per Knopfdruck einfach die Datenbank austauschen kannst."
"87","I","00:11:25","00:11:38","Können wir sonst auch noch ausprobieren mit einer anderen Datenbank, die dann direkt angeschlossen wird und das System in der Hinsicht schon proaktiv sozusagen herausfindet, welche Daten ich eigentlich hier vor mir habe."
"88","I","00:11:38","00:11:41","Aber natürlich so ein spezifisches Modell wäre sicherlich auch spannend."
"89","I","00:11:41","00:11:46","Ist die Frage, inwieweit bietet das Sage an, solche Extensions oder Integration?"
"90","P2","00:11:48","00:11:58","Also wir haben divers, also wir nennen das Customizing, wir haben ein Standardprodukt und wir haben natürlich sehr viel Customizing."
"91","P2","00:11:58","00:12:10","Also in der PPS haben wir nicht ganz, aber schon Grundlegendes verändert und das kann man bestellen und bezahlen, dann ist das so."
"92","P2","00:12:10","00:12:14","Aber dazu gehört dann immer noch die Frage, wie wird das gewartet?"
"93","P2","00:12:14","00:12:24","Also wie sieht das aus, wenn wir ein neues Stammprodukt haben, Wie sieht das jetzt mit dieser Anpassergeist neu erzeugen oder wird das automatisch?"
"94","P2","00:12:24","00:12:41","Das ist eine große Diskussion der Auseinandersetzung und eben wie er es angesprochen hat, man muss das sehr genau formulieren, was man will, damit man schlussendlich mit dem Produkt, mit dem Endprodukt dann auch leben kann."
"95","I","00:12:41","00:12:42","Klar, OK, verstehe."
"96","P1","00:12:42","00:12:53","Das ist dann aber nur Sage zum Beispiel entweder Warenwirtschaft oder im Lohnsystem oder was weiß ich, mit was man das noch alles verknüpfen möchte."
"97","P1","00:12:53","00:12:58","Also von meinem Traum, den ich gerade geschildert habe, ist das weit entfernt."
"98","I","00:12:58","00:12:59","OK."
"99","I","00:12:59","00:13:11","Und du hast jetzt viel darüber gesprochen, die Probleme sozusagen, die du nicht siehst, von den Problemen, die du tatsächlich siehst und mit denen du tagtäglich Auseinandersetzungen hast."
"100","I","00:13:12","00:13:17","Welche Probleme sind es, diese abfragen zum Scheitern grundsätzlich?"
"101","I","00:13:17","00:13:27","Also erkennst du irgendwelche wiederholenden Themen, wie ob es Datenqualität ist oder Konsistenz der Eintragung, dass es nicht getrackt wurde?"
"102","P1","00:13:28","00:13:31","Nein, Datenqualität wäre, glaube ich, immer unser Problem."
"103","P1","00:13:32","00:13:37","Logisch, wenn ein Mitarbeiter nicht zurückmeldet, was er gemacht hat, dann kann es das System nicht wissen."
"104","P1","00:13:38","00:13:43","Mein größtes Problem ist, denke ich, die Starrheit."
"105","P1","00:13:43","00:13:54","Also es kann sein, dass da eine Analyse vorgefertigt ist, die kriege ich auch, aber wenn ich was anderes gern hätte, dann geht das halt einfach nicht."
"106","P1","00:13:54","00:14:18","Plus, wenn ich damit arbeiten möchte, dann muss ich eben abfrage, ich nenne das Abfrage Doppelklick auf Menüpunkt, den es schon gibt, weil irgendjemand anders sich das schon machen hat lassen und dann das in den Standard ging und dann kriege ich da so eine PDF Vorschau und die kann ich in Excel exportieren und dort kann ich dann damit weiterarbeiten."
"107","P1","00:14:19","00:14:26","Also es ist für mich diese Umständlichkeit, vielleicht gäbe es einen schlauen Weg, den ich aber als einfacher Bediener nicht kenne."
"108","P1","00:14:26","00:14:51","Das ist für mich nicht ein Pain Point, aber das größte Ärgernis, wenn ich daran denke, was ich gerne alles würde, Aber ich meine, ich kann auch nicht mein iPhone sagen, verknüpft jetzt irgendwie die Kamera mit, ich weiß nicht was, da ist halt einfach das gegeben, was da ist und für dich, ich weiß nicht wo deine größten Probleme."
"109","P2","00:14:52","00:15:04","Wenn ich von der Geschäftsleitung eine Frage zugespiele, dann ist es natürlich meine Aufgabe, wo gründen jetzt diese Daten, damit man hier eine Antwort generieren kann."
"110","P2","00:15:05","00:15:25","Dann fangen wir natürlich mit dem relationalen Datenbankmodell an, das heißt, ich muss die Zusammenhänge der Tabelle erkennen, damit ich überhaupt eine Antwort geben kann, brauche ich eine Übersicht über die Datenstruktur, wie du gesagt hast."
"111","P2","00:15:25","00:15:31","Wenn das dann irgendwann mal 100 Tabellen sind, dann wird das aufwendig."
"112","P2","00:15:32","00:15:43","Das heißt, man muss dann Konstellationen machen und dann mal ausprobieren, ob die Antworten auch tatsächlich plausibel sind und dann die Fehler suchen, warum sie nicht plausibel sind."
"113","P2","00:15:43","00:16:09","Das ist natürlich aufwendig, das ist auch immer schwer abzuschätzen von den Zeiten her, gerade wenn man so einen Vergleich machen will, wie er jetzt benannt hat, dann gibt es ja eigentlich ein statisches Modell, wo man gesagt hat, dieser Prozess dauert so und so lange pro Stück, der ist aber ganz irgendwo anders gespeichert als die Fluktuationsdaten."
"114","P2","00:16:09","00:16:13","Das heißt, ich habe jetzt zehn Minuten an diesem Werkstück."
"115","P2","00:16:13","00:16:23","Das heißt also, ich muss, wenn ich eine Antwort haben will, ist der jetzt langsamer oder schneller als die Vorgabe, muss ich die wieder neu zusammenfügen, diese Daten."
"116","P2","00:16:23","00:16:25","Und das bietet das Standardprodukt so nicht."
"117","I","00:16:26","00:16:27","OK, sehr spannend."
"118","I","00:16:30","00:16:35","Mir kommen ganz viele Ideen schon für das System an sich auch und wo es dort auch Nutzen gibt."
"119","I","00:16:35","00:16:38","Also ich freue mich da auch schon das euch gleich zeigen zu können."
"120","I","00:16:39","00:16:47","Vielleicht noch mehr dann zu der Nutzung von einmal KI Systemen grundsätzlich, aber auch jetzt spezifisch solchen personalisierten System."
"121","I","00:16:48","00:16:52","Inwieweit ist das schon in euren aktuellen Alltagen, sage ich mal drin?"
"122","I","00:16:52","00:17:01","Sind das schon Erste Nutzungen von ChatGPT, Copilot und auch in so Datenanalyse Zeugs oder wie nutzt ihr aktuell KI?"
"123","P2","00:17:03","00:17:22","Also ich nutze ChatGPT vor allem, also bei den Standardapplikationen, wie du ansprichst, dieser Co Paris, mit dem arbeite ich eigentlich nicht und in ChatGPT formuliere ich einfach sehr präzise Fragen und bekomme da richtig gute Antworten."
"124","P2","00:17:22","00:17:31","Es geht hier Syntax, es geht hier Umgang mit Daten und das mache ich sehr gerne mit diesem System."
"125","P2","00:17:31","00:17:39","Ich habe auch festgestellt, wenn ich eine präzise Frage formulieren kann, dann bekomme ich auch eine sehr wertige."
"126","P2","00:17:40","00:17:42","Das ist John K."
"127","P2","00:17:43","00:17:48","Und ich bin sicher jeden Tag am Chat GP, OK."
"128","P1","00:17:49","00:17:56","Ich nicht so häufig, aber ich nutze es, wenn ich irgendwo nicht suchen will."
"129","P1","00:17:56","00:18:02","Also wenn ich was weiß ich Kunde will wissen, was ist CO Abdruck unseres Produkts?"
"130","P1","00:18:02","00:18:23","Dann errechnen wir irgendwas und dann könnte ich mir das jetzt in ewiger Kugelsuche raussuchen und dann liegt es halt nahe zu Wo ist in der mechanischen Bearbeitung ein durchschnittlicher CO Abdruck pro Kilo Rohmaterial bei mir sehr viel qualitativer oder auch was weiß ich."
"131","P1","00:18:23","00:18:29","Ich habe auch unsere Strategiepunkte da reingeladen und gesagt mach mir Vorschläge, was jetzt die Lösung ist."
"132","P1","00:18:30","00:18:37","Nicht wirklich brauchbar die Antwort, aber interessant, was da wie schnell herumkommt."
"133","P1","00:18:37","00:18:52","Und privat nutze ich es, wenn mich etwas interessiert schon auch ich habe es dir erzählt, das Ding baut dir ja zwischenzeitlich ein Programm, wenn du willst für irgendwas."
"134","P1","00:18:52","00:19:12","Ich verstehe meist zu wenig, aber ich bin angetan davon, dass es das kann, Zumal wir hier über Textinput und ich glaube, da kann das einfach alles viel schneller sprechen mit dem Problem, dass eben die Felder heißen, wie sie heißen und nicht zwingend so, wie wir es gerne hätten."
"135","I","00:19:14","00:19:21","Sehr spannend, wunderbar, sehr interessant eure jeweiligen Meinungen dazu auch zu hören."
"136","I","00:19:21","00:19:35","Wie gesagt, mir kommen ganz viele Ideen auch wie es aufgebaut ist, weil man hat ja zum Beispiel hier links auf der linken Seite die KI Software eigentlich und hier dann die Verbindung der Datenbank und das ist halt spezifisch aufgebaut für KI grundsätzlich."
"137","I","00:19:35","00:19:56","Das heißt, eine andere Überlegung, die ich auch hatte, war das sozusagen als Server, MCP Server, den großen KI Modellen zur Verfügung zu stellen, dass ihr dann sagen könnt, hey, ich lade jetzt einfach genau diese schnittstelle in mein ChatGPT und dann kann im Prinzip ChatGPT die Datenbank zur Informationssuche auch nutzen."
"138","I","00:19:57","00:20:03","Aber Simon meinte, wir sollten sicherstellen, dass das Gespräch heute nicht allzu explorativ wird."
"139","I","00:20:03","00:20:05","Kommen mir aber sehr viele Ideen in dem Ganzen."
"140","I","00:20:05","00:20:13","Darum würde ich sagen, switchen wir rüber zu der User Study und das ist jetzt im Prinzip die App, die ich entwickelt habe, die das Ganze umschließt."
"141","I","00:20:13","00:20:23","Also man sieht hier ist mit dem SQL Syntax verbunden, weil das eure Datenbank ist und es ist mit der OL Luisi Diener Datenbank verknüpft."
"142","I","00:20:24","00:20:29","Und jetzt ist es so, dass wir wie eine Art Think Aloud Study eigentlich durchführen."
"143","I","00:20:29","00:20:43","Das heißt, es geht darum, dass ihr eure Gedankenprozesse und Besprechungen vielleicht auch wirklich offenlegt und überlegt, was ihr gerne fragen möchtet, wie ihr auf die Frage gekommen seid, ob es irgendwelche Confusion Points oder sowas gab, während ihr das System genutzt habt."
"144","I","00:20:43","00:20:54","Danach kommt dann auch noch eine kurze Besprechung, kurzes Formular, was ich gemacht habe noch, Ich habe, wie gesagt, hier vorab noch einen Fragenkatalog erstellt gehabt von, sag ich mal, komplexer werdenden Fragen."
"145","I","00:20:54","00:21:20","Das heißt, wir haben relativ einfache Fragen, die einfach nur abrufen sind, die werden dann komplexer zu Aggregation, zu Gruppierungen, unter anderem, wo mehrere Tabellen nützlich sind, Cross Joins, mehrere Tabellen und so weiter, bis hin dann auch Datenqualität und dann die Cockpit Questions, die du mir mal geschickt hattest, die wirklich sozusagen die höchste Komplexität eigentlich sind und die könnt ihr gerne auch direkt abtippen, wenn sie euch interessieren."
"146","I","00:21:20","00:21:35","Ihr habt sonst hier auch einfach nochmal den Fragenkatalog, sonst kann ich das mit dem Bildschirm verbinden, könnt ihr rüberpasten, aber sie sollen vor allem als Inspiration dienen, dass ihr einfach ein paar Ideen habt, in welche Richtung man fragen könnte, weil es ist ein sehr blankes Interface."
"147","I","00:21:36","00:21:52","Und dann geht es vor allem darum zu analysieren, okay, wie steht ihr zu so einem Tool, inwieweit ist es hilfreich in ihrem aktuellen Stand, was müsste sich verbessern, wie sieht es auch mit dem Vertrauen aus bezüglich den Antworten, Das ist so ein bisschen den Rahmen zu setzen, wie das jetzt verbunden ist."
"148","I","00:21:53","00:21:59","Das Interface spricht mit dem KI System, das KI System spricht mit dem Laptop und somit mit eurer Datenbank."
"149","I","00:21:59","00:22:01","So ist das Ganze im Prinzip aufgesetzt."
"150","I","00:22:02","00:22:05","Genau daher würde ich euch jetzt das überreichen."
"151","I","00:22:05","00:22:12","Ja ich habe hier auch ein schön Dark Mode, also je nachdem was ihr gerne haben möchtet, Dark oder Light Mode könnt ihr das da oben wählen."
"152","I","00:22:13","00:22:17","Hier unten auch noch sind paar Übungsfragen oder weitere Fragen auf Englisch."
"153","I","00:22:17","00:22:23","Er kann beide Sprachen sprechen, aber ich denke, weil eure Datenbank auch auf Deutsch ist, macht das wahrscheinlich am meisten Sinn."
"154","I","00:22:23","00:22:35","Ich würde mich dazusetzen, paar Notizen schreiben, eher unmoderiert bleiben, aber natürlich wenn irgendwelche Fragen aufkommen, bin ich da würde mich sehr interessieren, Hat der jetzt zum Beispiel."
"155","P1","00:22:35","00:22:38","Unser Lohnsystem auch drin?"
"156","P1","00:22:38","00:22:41","Also hat der Office Line und Sage drin?"
"157","I","00:22:41","00:22:43","Ne der hat nur."
"158","P1","00:22:45","00:22:47","Sage 100 Genau."
"159","I","00:22:47","00:22:54","Der hat nur diese, also ich weiß nicht genau welche das ist, aber das ist eine von vielen Datenbanken, könnte ich hier sonst kurz auch mal schauen."
"160","P2","00:22:59","00:23:09","Für mich ist das noch Hewis Dialekt, MSSQL und DB Luise Diener, das ist für mich."
"161","P1","00:23:12","00:23:18","Da ich das jetzt nicht weiß, würde ich jetzt ihn zuerst fragen, auf welche Daten kann ich denn überhaupt zugreifen?"
"162","I","00:23:31","00:23:34","Genau und du siehst auch hier so ein bisschen die Schritte, die er durchführt."
"163","I","00:23:35","00:23:38","Dort oben kann man dann auch mal nachschauen, was er sozusagen gesucht hat."
"164","P1","00:23:39","00:23:39","Wo sehe ich das?"
"165","I","00:23:40","00:23:40","Entschuldigung."
"166","I","00:23:40","00:23:46","Hier bei dem Agent Completer kannst du draufklicken, dann siehst du so ein bisschen was er so denkt gerade."
"167","P1","00:23:49","00:24:02","Da hast du angesprochen eben Vertrauen in sowas, das ist bei mir zumindest bei ChatGPT zum Teil nicht hoch, deswegen würde ich jetzt ein paar Fragen stellen, zu schauen, ob das sein kann, was der mir sagt."
"168","P1","00:24:03","00:24:10","Also zum Beispiel, welches Produkt haben wir 2025 sind alle Jahre drin?"
"169","P2","00:24:10","00:24:14","Ist es bis vor kurzem live, ist jetzt online drin?"
"170","I","00:24:15","00:24:18","Ja also ich glaube die er kann sogar Abfragen bis letzte Woche machen."
"171","P1","00:24:21","00:24:23","Höftesten gibt Das Wort."
"172","P1","00:24:27","00:24:29","Selber 25."
"173","I","00:24:43","00:24:52","Sieht man auf der Seite auch was ich spannend finde immer kann man zuschauen, wie er Fehler macht in der Datenbank und die dann auch versucht zu korrigieren und so weiter."
"174","I","00:24:52","00:24:58","Das ist ganz spannend sieht man, wie das KI System sozusagen mit eurem Server interagiert auf diesen Logs."
"175","P1","00:25:00","00:25:01","Und was ist Fehler für ihn?"
"176","I","00:25:02","00:25:09","Das ist zum Beispiel In dem Fall war der Fehler, dass er wahrscheinlich nicht Er konnte den Spaltennamen nicht finden."
"177","I","00:25:09","00:25:21","Das heißt, er bekommt diese Rückmeldung sozusagen von der Datenbank zurück und dann findet er hier oder nutzt er den Fehler, die Query weiter zu verschärfen und kann dann die neue Query abfeuern."
"178","P1","00:25:21","00:25:26","Okay, das am häufigsten verschärfte Produkt hat keine spezifische Artikelnummer in den Daten."
"179","P1","00:25:26","00:25:29","Das verstehe ich zum Beispiel jetzt nicht."
"180","P1","00:25:30","00:25:41","Dann frage ich ihn welche Artikelnummer ist es denn, die 1000 dreimal verkauft wurde?"
"181","P1","00:25:45","00:25:49","1003 macht grundsätzlich keinen Sinn."
"182","P1","00:25:54","00:25:56","Das verstehe ich nicht."
"183","P1","00:25:56","00:26:05","Also wieso jetzt 1003 mal, wenn es Einheiten, dann habe ich mich eventuell nicht korrekt."
"184","P2","00:26:06","00:26:07","Vielleicht."
"185","P1","00:26:10","00:26:19","Welche Artikelnummer weist die meisten verkauften."
"186","P1","00:26:27","00:26:30","Hättest du jetzt verstanden, was die 1003 meint?"
"187","I","00:26:30","00:26:39","Ne, nicht jetzt auch direkt, aber man kann ihm dann dazu auch Rückfragen stellen, dass er nochmal Revue passieren lassen kann, welche Tabellen er genutzt hat."
"188","P1","00:26:53","00:26:54","Lass mich bitte wissen, ok."
"189","P2","00:27:04","00:27:05","Das ist."
"190","P1","00:27:05","00:27:11","Jetzt zum Beispiel ich weiß, dass unser Artikel Matchcode, dass der Matchcode den Namen enthält."
"191","P1","00:27:11","00:27:12","Deswegen würde ich jetzt fragen, kannst du."
"192","P1","00:27:12","00:27:17","Mir den matchcode des Artikels 17 Art."
"193","P1","00:27:17","00:27:21","7 9 4 ausgeben?"
