session,turn,old_label,new_label,confidence,transcript_time,speaker_name,evidence_quote,mapping_method,rationale
1,38,UNVERIFIED,INCORRECT,0.70,01:11:06,P1,"Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,40,UNVERIFIED,INCORRECT,0.70,01:11:06,P1,"Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,41,UNVERIFIED,INCORRECT,0.70,01:11:06,P1,"Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,42,UNVERIFIED,INCORRECT,0.70,01:11:06,P1,"Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",time_window,"time=1.00, lexical=0.01, polarity=1.00, speaker_rel=1.00, issue=none"
1,43,UNVERIFIED,INCORRECT,0.70,01:11:06,P1,"Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,47,UNVERIFIED,INCORRECT,0.70,01:15:36,P1,Was ich auch das gibt es nicht.,time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,49,UNVERIFIED,INCORRECT,0.70,01:15:36,P1,Was ich auch das gibt es nicht.,time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
1,50,UNVERIFIED,INCORRECT,0.67,01:20:46,P1,"Mit Referent, ja, Auftragsbestätigung war über Einstück, okay, dann stimmt sein Auto nicht.",time_window,"time=1.00, lexical=0.01, polarity=1.00, speaker_rel=0.70, issue=none"
1,51,UNVERIFIED,INCORRECT,0.69,01:20:46,P1,"Mit Referent, ja, Auftragsbestätigung war über Einstück, okay, dann stimmt sein Auto nicht.",time_window,"time=1.00, lexical=0.05, polarity=1.00, speaker_rel=0.70, issue=none"
1,52,UNVERIFIED,INCORRECT,0.70,01:22:09,P1,"Wenn ich das falsch sehe, aber da steht eins in der Menge, das heißt bei mir Menge und.",time_window,"time=1.00, lexical=0.01, polarity=1.00, speaker_rel=1.00, issue=none"
2,1,UNVERIFIED,INCORRECT,0.71,01:22:09,P1,"Wenn ich das falsch sehe, aber da steht eins in der Menge, das heißt bei mir Menge und.",time_window,"time=1.00, lexical=0.02, polarity=1.00, speaker_rel=1.00, issue=none"
2,2,UNVERIFIED,UNVERIFIED,0.70,,,,manual,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
2,3,UNVERIFIED,PARTIAL,0.70,01:26:48,P1,"Ja, es stimmt fast, Aber bei welche.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
2,4,UNVERIFIED,PARTIAL,0.70,01:26:48,P1,"Ja, es stimmt fast, Aber bei welche.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
2,5,UNVERIFIED,UNVERIFIED,0.70,,,,manual,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
2,6,UNVERIFIED,UNVERIFIED,0.70,,,,manual,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
2,7,UNVERIFIED,INCORRECT,0.70,01:29:48,P1,Ganz schlecht.,time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
2,8,UNVERIFIED,INCORRECT,0.70,01:29:48,P1,Ganz schlecht.,time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
2,9,UNVERIFIED,INCORRECT,0.68,01:32:18,P1,"Das gibt es nicht, Da bin ich einverstanden, Kenne ich nicht, erwartet gibt es nicht und so gerade Stückzahlen gibt es auch nicht bei uns.",time_window,"time=1.00, lexical=0.04, polarity=1.00, speaker_rel=0.70, issue=none"
2,10,UNVERIFIED,UNVERIFIED,0.67,,,,manual,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=0.70, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
2,11,UNVERIFIED,INCORRECT,0.70,01:35:14,P1,"Okay, das kann man nicht.",time_window,"time=1.00, lexical=0.09, polarity=1.00, speaker_rel=0.70, issue=none"
2,12,UNVERIFIED,UNVERIFIED,0.67,,,,manual,"time=1.00, lexical=0.01, polarity=1.00, speaker_rel=0.70, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
2,13,UNVERIFIED,UNVERIFIED,0.67,,,,manual,"time=1.00, lexical=0.01, polarity=1.00, speaker_rel=0.70, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
2,14,UNVERIFIED,UNVERIFIED,0.67,,,,manual,"time=1.00, lexical=0.01, polarity=1.00, speaker_rel=0.70, issue=conflicting_high_confidence_evidence; unresolved=conflicting_high_confidence_evidence"
2,15,UNVERIFIED,CORRECT,0.70,01:39:10,P1,"Was sein kann, ist, dass er einen Artikel, den wir mehrfach bestellen halt jetzt vermischt zwischen Wareneingang XY stimmt überein mit einer Bestellung.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=1.00, issue=none"
2,16,UNVERIFIED,HALLUCINATION,0.69,01:36:52,P1,"Der erfindet Dinge, der Mitarbeiter ID, den gibt es nicht.",time_window,"time=1.00, lexical=0.06, polarity=1.00, speaker_rel=0.70, issue=none"
2,19,UNVERIFIED,CORRECT,0.71,01:39:10,P1,"Was sein kann, ist, dass er einen Artikel, den wir mehrfach bestellen halt jetzt vermischt zwischen Wareneingang XY stimmt überein mit einer Bestellung.",time_window,"time=1.00, lexical=0.05, polarity=1.00, speaker_rel=1.00, issue=none"
2,20,UNVERIFIED,N/A,0.67,01:40:19,P1,"Welche dabei, welche Tabellen passen am besten zu meiner.",time_window,"time=1.00, lexical=0.00, polarity=1.00, speaker_rel=0.70, issue=none"
2,21,UNVERIFIED,N/A,0.60,01:34:49,P1,"Erklär mir, woher du diese Zahl hast.",lexical_match,"time=0.50, lexical=0.36, polarity=1.00, speaker_rel=0.70, issue=none"
2,22,UNVERIFIED,UNVERIFIED,0.00,,,,manual,no_candidate_in_time_or_lexical_scope
2,23,UNVERIFIED,UNVERIFIED,0.00,,,,manual,no_candidate_in_time_or_lexical_scope
2,24,UNVERIFIED,UNVERIFIED,0.00,,,,manual,no_candidate_in_time_or_lexical_scope
2,25,UNVERIFIED,UNVERIFIED,0.00,,,,manual,no_candidate_in_time_or_lexical_scope
2,26,UNVERIFIED,UNVERIFIED,0.00,,,,manual,no_candidate_in_time_or_lexical_scope
2,27,UNVERIFIED,N/A,0.57,01:40:19,P1,"Welche dabei, welche Tabellen passen am besten zu meiner.",lexical_match,"time=0.50, lexical=0.26, polarity=1.00, speaker_rel=0.70, issue=none"
