session,turn,user_query,assistant_response_preview,sql_preview,sme_quote,coder_evidence,transcript_time,proposed_label
S1,T38,"Welche Bestellnummer (""Ihre Referenz"") hatte den höchsten Auftragswert?","In der Tabelle **dbo.KHKPpsFfBeistellPos** gibt es keinen direkten Spaltennamen für ""Auftragswert"". Es könnte sein, dass der Auftragswert in einer and","SELECT TOP 1 Bestellnummer, SUM(Auftragswert) AS Gesamtwert FROM dbo.KHKPpsFfBeistellPos GROUP BY Bestellnummer ORDER BY Gesamtwert DESC","[01:11:06] Der hat jetzt irgendwas gefunden, aber das kann auch nicht. | [01:11:16] Schwierig.","Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",01:11:06,PLAUSIBILITY_REJECTION
S1,T40,Welche Buchung im Rechnungswesen hatte einen Wert über CHF 50'000?,"Die Buchung mit der ID **9** hatte den höchsten Wert über CHF 50'000, mit einem Betrag von **CHF 12'456'789.35**.","SELECT TOP 1 ID, Buchungsbetrag FROM dbo.KHKBuchungserfassungSDiv WHERE Buchungsbetrag > 50000 ORDER BY Buchungsbetrag DESC","[01:11:06] Der hat jetzt irgendwas gefunden, aber das kann auch nicht. | [01:11:16] Schwierig.","Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",01:11:06,PLAUSIBILITY_REJECTION
S1,T41,Was haben wir da gekauft?,"Die Buchung mit der ID **9** bezieht sich auf den Kauf von ""Maschinen und Anlagen"".",,"[01:11:06] Der hat jetzt irgendwas gefunden, aber das kann auch nicht. | [01:11:16] Schwierig.","Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",01:11:06,PLAUSIBILITY_REJECTION
S1,T42,Welche Buchung mit Gegenkonto S1020 hatte den höchsten CHF-Wert in 2025?,"Es scheint, dass es keine Buchungen mit dem Gegenkonto ""S1020"" gibt, die einen Wert aufweisen. Dies könnte darauf hindeuten, dass entweder keine entsp","SELECT TOP 1 ID, Buchungsbetrag, Buchungstext FROM dbo.KHKBuchungserfassungSDiv WHERE SaKto = 'S1020' ORDER BY Buchungsbetrag DESC","[01:11:06] Der hat jetzt irgendwas gefunden, aber das kann auch nicht. | [01:11:16] Schwierig.","Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",01:11:06,PLAUSIBILITY_REJECTION
S1,T43,"Kannst du nochmal schauen, ob es wirklich keine Buchungen an Konto S1020 (Bankkonto) gibt? Dieses müsste auffindbar sein","Die Buchung mit dem höchsten Wert im Jahr 2025, die das Gegenkonto ""S1020"" (Bankkonto) betrifft, hat die ID **43147**. Sie wurde am **08.01.2025** mit","SELECT TOP 1 ID, Buchungsdatum, SollEw, HabenEw, Buchungstext FROM dbo.KHKBuchungsjournal WHERE GegenKto = 'S1020' AND YEAR(Buchungsdatum) = 2025 ORDER BY (SollEw + HabenEw) DESC","[01:11:06] Der hat jetzt irgendwas gefunden, aber das kann auch nicht. | [01:11:16] Schwierig.","Der hat jetzt irgendwas gefunden, aber das kann auch nicht.",01:11:06,PLAUSIBILITY_REJECTION
S1,T44,Was hat die neue Trumpf Lasermaschine gekostet?,"Es scheint, dass die Suche nach der ""Trumpf Lasermaschine"" keine direkten Ergebnisse in Bezug auf die Kosten oder spezifische Buchungen geliefert hat.",,"[01:11:06] Der hat jetzt irgendwas gefunden, aber das kann auch nicht. | [01:11:16] Schwierig.",Trumpf machine not found in booking text,01:11:23,PLAUSIBILITY_REJECTION
S1,T46,Welcher Auftrag des Kunden Flowtec hatte die kürzeste Lieferzeit zwischen Auftragserfassung und Erstellung Lieferschein?,"Es scheint, dass es keine Aufträge von ""Flowtec"" gibt, die eine Lieferzeit zwischen Auftragserfassung und Erstellung des Lieferscheins aufweisen. Dies","SELECT TOP 1 k.Belegnummer, DATEDIFF(day, k.Belegdatum, k.Liefertermin) AS Lieferzeit FROM dbo.KHKVKBelege k WHERE k.A0Name1 = 'Flowtec' ORDER BY Lieferzeit ASC",,Wrong table for Flowtec,,UNADJUDICATED
S1,T47,Welche ID hat der Kunde Flowtec?,"Der Kunde ""Flowtec"" hat die Kunden-ID **D00001**. Wenn du weitere Informationen benötigst oder eine andere Analyse wünschst, lass es mich bitte wissen","SELECT Kto, Matchcode FROM dbo.KHKKontokorrent WHERE Matchcode LIKE '%Flowtec%'","[01:15:19] Wenn ich ihm sage erstellen Auftragsbestätigung und erstellen Lieferschein heißt wahrscheinlich nicht so in. | [01:15:29] Der Software, müssen nicht.",Was ich auch das gibt es nicht.,01:15:36,CONTRADICTION_VERIFIED
S1,T48,welcher Auftrag dieses Kundens hatte die kürzeste Zeit zwischen Auftragsbestätigung (Beleg Auftragsbestätigung) und der Erstellung des zugehörigen Lie,"Es scheint, dass es keine Aufträge von ""Flowtec"" gibt, die eine Lieferzeit zwischen Auftragsbestätigung und Erstellung des Lieferscheins aufweisen. Di","SELECT TOP 1 tKHKPpsPrintFaVkVerursacher.Auftragsnummer, DATEDIFF(day, tKHKPrintBelegKopfVK.Belegdatum, tKHKPrintBelegKopfEK.Belegdatum) AS Lieferzeit_Tage FROM dbo.tKHKPpsPrintFaVkVerursacher JOIN db",,Flowtec join failure,,UNADJUDICATED
S1,T49,Welcher Auftrag hatte die kürzeste Dauer zwischen Datum der Auftragsbestätigung und Liefertermin?,"Der Auftrag mit der ID **11108** hatte die kürzeste Dauer zwischen dem Datum der Auftragsbestätigung und dem Liefertermin, mit einer negativen Lieferz","SELECT TOP 1 BelID, DATEDIFF(day, Belegdatum, Liefertermin) AS Lieferzeit_Tage FROM dbo.KHKVKBelege WHERE Belegdatum IS NOT NULL AND Liefertermin IS NOT NULL ORDER BY Lieferzeit_Tage ASC","[01:15:19] Wenn ich ihm sage erstellen Auftragsbestätigung und erstellen Lieferschein heißt wahrscheinlich nicht so in. | [01:15:29] Der Software, müssen nicht.",Was ich auch das gibt es nicht.,01:15:36,CONTRADICTION_VERIFIED
S1,T50,Beschreibe mir bitten den Auftrag mit ID 11108,"Es scheint, dass es keine spezifischen Einträge für den Auftrag mit der ID **11108** in der Tabelle **dbo.tKHKCheflisteLieferbareAuftraege** gibt. Die",SELECT * FROM dbo.tKHKCheflisteLieferbareAuftraege WHERE ID = 11108,"[01:20:46] Mit Referent, ja, Auftragsbestätigung war über Einstück, okay, dann stimmt sein Auto nicht. | [01:21:23] 126 sehr selbstbewusste Antwort, aber einfach falsch.","Mit Referent, ja, Auftragsbestätigung war über Einstück, okay, dann stimmt sein Auto nicht.",01:20:46,CONTRADICTION_VERIFIED
S1,T51,"sag mir alles, was du über diesen Auftrag weisst","Hier sind die Informationen, die ich über den Auftrag mit der ID **11108** gefunden habe:  1. **dbo.tKHKPpsMitarbeiterBuchungen**:    - Enthält Inform",,"[01:20:46] Mit Referent, ja, Auftragsbestätigung war über Einstück, okay, dann stimmt sein Auto nicht. | [01:21:23] 126 sehr selbstbewusste Antwort, aber einfach falsch.","Mit Referent, ja, Auftragsbestätigung war über Einstück, okay, dann stimmt sein Auto nicht.",01:20:46,CONTRADICTION_VERIFIED
S1,T52,Was haben wir in diese Spalten geschrieben?,"Es scheint, dass es ein technisches Problem beim Abrufen der Spalteninformationen aus den Tabellen gibt. Daher kann ich die genauen Inhalte der Spalte",,[01:21:50] In welchen Feldern stehen diese Einheiten? | [01:22:02] Bestellmenge und Liefermenge.,"Wenn ich das falsch sehe, aber da steht eins in der Menge, das heißt bei mir Menge und.",01:22:09,ERROR
S2,T1,Welche Referenznummer hatte diese Bestellung?,Die Bestellung mit der überlieferten Menge hat die Referenznummer 1004945311.,SELECT k.Referenznummer FROM dbo.KHKPpsFfBestellmengen b JOIN dbo.KHKVKBelege k ON b.BelIDFa = k.BelID WHERE b.VorPosID = 2256,[01:21:50] In welchen Feldern stehen diese Einheiten? | [01:22:02] Bestellmenge und Liefermenge.,"Wenn ich das falsch sehe, aber da steht eins in der Menge, das heißt bei mir Menge und.",01:22:09,CONTRADICTION_VERIFIED
S2,T7,wie heisst Kunde 1?,"Der Kunde mit der Adresse 1 heißt ""Endress + Hauser Flowtec AG"".","SELECT Name1, Name2 FROM dbo.KHKAdressen WHERE Adresse = 1",[01:29:35] Das ist jetzt eigentlich nur Systemlogik. | [01:29:38] Nonik übernommen Recht nicht.,Ganz schlecht.,01:29:48,PLAUSIBILITY_REJECTION
S2,T8,Wo gibt es systematische Abweichungen zwischen Plantermin und Isttermin?,"Es gibt derzeit keine systematischen Abweichungen zwischen Plantermin und Isttermin, die größer als 5 Tage sind.","SELECT Projektnummer, PlanStartTermin, IstStartTermin, DATEDIFF(day, PlanStartTermin, IstStartTermin) AS Abweichung_Tage FROM dbo.KHKProjekteSchritte WHERE DATEDIFF(day, PlanStartTermin, IstStartTermi",[01:29:35] Das ist jetzt eigentlich nur Systemlogik. | [01:29:38] Nonik übernommen Recht nicht.,Ganz schlecht.,01:29:48,PLAUSIBILITY_REJECTION
S2,T9,Bei welchem Auftrag hatten wir die grösste Abweichung?,"Der Auftrag mit der größten Abweichung ist ""Trägerr PL3 PmassF 08 4301 Dü 3.1"" mit einer Abweichung von 79 Tagen zwischen dem Plantermin und dem Istte","SELECT TOP 1 Auftrag, DATEDIFF(day, DatumStart, DatumEnde) AS Abweichung_Tage FROM dbo.tKHKPpsMitarbeiterBuchungen WHERE DatumStart IS NOT NULL AND DatumEnde IS NOT NULL ORDER BY Abweichung_Tage DESC","[01:32:18] Das gibt es nicht, Da bin ich einverstanden, Kenne ich nicht, erwartet gibt es nicht und so gerade Stückzahlen gibt es auch nicht bei uns. | [01:32:58] Ich meine diese Antwort, wenn die sti","Das gibt es nicht, Da bin ich einverstanden, Kenne ich nicht, erwartet gibt es nicht und so gerade Stückzahlen gibt es auch nicht bei uns.",01:32:18,CONTRADICTION_VERIFIED
S2,T11,Dieser Artikel ist nicht im beleg mit der Referenznummer 1004945311 enthalten,"Der Auftrag mit der größten Abweichung ist ""Trägerr PL3 PmassF 08 4301 Dü 3.1"" mit einer Abweichung von 79 Tagen. Leider konnte ich die Referenznummer","SELECT TOP 1 Auftrag, DATEDIFF(day, DatumStart, DatumEnde) AS Abweichung FROM dbo.tKHKPpsMitarbeiterBuchungen ORDER BY Abweichung DESC","[01:34:54] Jetzt kommt er vielleicht wieder mit Feldern. | [01:35:14] Okay, das kann man nicht.","Okay, das kann man nicht.",01:35:14,UNADJUDICATED
S2,T12,"Die Referenznummer ist im Feld ""Ihre Referenznummer"" eingetragen","Es scheint, dass es keine Einträge in der Tabelle `dbo.KHKVKBelege` gibt, die mit der Belegart ""Trägerr PL3 PmassF 08 4301 Dü 3.1"" übereinstimmen. Mög","SELECT TOP 1 Referenznummer FROM dbo.KHKVKBelege WHERE Belegart = 'Trägerr PL3 PmassF 08 4301 Dü 3.1' ORDER BY DATEDIFF(day, Liefertermin, Belegdatum) DESC",,"transcript 01:27:53 P1: ""hat überhaupt nichts mit diesem Artikel zu tun""",,CONTRADICTION_VERIFIED
S2,T16,"Weichen die Teilemengen, die Mitarbeiter zurückmelden ab von der Schichtzugehörigkeit, also ob sie am Morgen oder am nachmittag arbeiten?","Ja, es gibt Unterschiede in den zurückgemeldeten Teilemengen zwischen den Schichten. In den letzten 30 Tagen wurden morgens (04:00-11:00 Uhr) insgesam","SELECT      SUM(CASE WHEN DATEPART(hour, DatumZeit) BETWEEN 4 AND 11 THEN Menge ELSE 0 END) AS MorgenMenge,     SUM(CASE WHEN DATEPART(hour, DatumZeit) BETWEEN 12 AND 19 THEN Menge ELSE 0 END) AS Nach","[01:36:45] Ja, nein, das ist. | [01:36:52] Der erfindet Dinge, der Mitarbeiter ID, den gibt es nicht.","Der erfindet Dinge, der Mitarbeiter ID, den gibt es nicht.",01:36:52,HALLUCINATION_ASSERTED
S2,T20,Berücksichtige nur Tage von Montag bis Freitag,Am letzten Morgen in der Schicht von Montag bis Freitag wurde kein spezifischer Artikel mit einer Artikelnummer am häufigsten gefertigt. Die Gesamtmen,"SELECT TOP 1 Artikelnummer, SUM(Menge) AS Gesamtmenge FROM dbo.KHKPpsRueckmeldungen WHERE DATEPART(dw, DatumZeitStart) BETWEEN 2 AND 6 -- Montag bis Freitag AND DATEPART(hour, DatumZeitStart) BETWEEN ","[01:40:06] Es heißt natürlich nur Übernahme in Wareneingang. | [01:40:08] Ob da so netter Wall so heißt, weiß ich nicht.","transcript 01:34:35 P1: ""Das ist Käse""",01:40:19,PLAUSIBILITY_REJECTION
S2,T22,Halten sich die Mitarbeitenden an die vorgeschriebenen Pausenzeiten von 30 Minuten pro Tag?,Alle Mitarbeitenden haben sich in den letzten 30 Tagen an die vorgeschriebenen Pausenzeiten von mindestens 30 Minuten pro Tag gehalten. Es gibt keine ,"SELECT Mitarbeiternummer, SUM(DATEDIFF(minute, DatumZeitStart, DatumZeitEnde)) AS PausenDauer FROM dbo.KHKPpsBdeStempel WHERE Typ = 'Pause' AND DatumZeitStart >= DATEADD(day, -30, GETDATE()) GROUP BY ",,"transcript 01:35:55 P1: ""das machen die niemals""",,CONTRADICTION_VERIFIED
